,X_coord,Y_coord,Ref_wind,Num_tot_turb,ID,Turb_num
243,322.1614502,-186,7.57178211,2,2_turbine_300_degrees_372.0_meters,1
244,0,0,7.52118015,2,2_turbine_240_degrees_465.0_meters,0
245,402.7018128,232.5,7.56287241,2,2_turbine_240_degrees_465.0_meters,1
246,0,0,7.50969458,2,2_turbine_241_degrees_465.0_meters,0
247,406.6981638,225.4364734,7.56061697,2,2_turbine_241_degrees_465.0_meters,1
248,0,0,7.51781893,2,2_turbine_242_degrees_465.0_meters,0
249,410.5706307,218.3042767,7.55410624,2,2_turbine_242_degrees_465.0_meters,1
250,0,0,7.49304247,2,2_turbine_243_degrees_465.0_meters,0
251,414.3180337,211.1055824,7.57284451,2,2_turbine_243_degrees_465.0_meters,1
252,0,0,7.49863148,2,2_turbine_244_degrees_465.0_meters,0
253,417.9392315,203.8425833,7.56386948,2,2_turbine_244_degrees_465.0_meters,1
254,0,0,7.50720739,2,2_turbine_245_degrees_465.0_meters,0
255,421.433121,196.5174917,7.53660727,2,2_turbine_245_degrees_465.0_meters,1
256,0,0,7.48997736,2,2_turbine_246_degrees_465.0_meters,0
257,424.7986378,189.132539,7.53616619,2,2_turbine_246_degrees_465.0_meters,1
258,0,0,7.49036741,2,2_turbine_247_degrees_465.0_meters,0
259,428.0347569,181.6899747,7.52922964,2,2_turbine_247_degrees_465.0_meters,1
260,0,0,7.48661184,2,2_turbine_248_degrees_465.0_meters,0
261,431.1404924,174.1920659,7.5277791,2,2_turbine_248_degrees_465.0_meters,1
262,0,0,7.48426533,2,2_turbine_249_degrees_465.0_meters,0
263,434.1148983,166.6410965,7.51185465,2,2_turbine_249_degrees_465.0_meters,1
264,0,0,7.48404837,2,2_turbine_250_degrees_465.0_meters,0
265,436.9570687,159.0393666,7.50910616,2,2_turbine_250_degrees_465.0_meters,1
266,0,0,7.47953606,2,2_turbine_251_degrees_465.0_meters,0
267,439.6661377,151.3891918,7.50284719,2,2_turbine_251_degrees_465.0_meters,1
268,0,0,7.48489571,2,2_turbine_252_degrees_465.0_meters,0
269,442.2412801,143.6929024,7.48770285,2,2_turbine_252_degrees_465.0_meters,1
270,0,0,7.47610044,2,2_turbine_253_degrees_465.0_meters,0
271,444.6817115,135.9528427,7.46116877,2,2_turbine_253_degrees_465.0_meters,1
272,0,0,7.44887638,2,2_turbine_254_degrees_465.0_meters,0
273,446.9866886,128.1713705,7.43963814,2,2_turbine_254_degrees_465.0_meters,1
274,0,0,7.45597649,2,2_turbine_255_degrees_465.0_meters,0
275,449.1555092,120.350856,7.38600874,2,2_turbine_255_degrees_465.0_meters,1
276,0,0,7.44837809,2,2_turbine_256_degrees_465.0_meters,0
277,451.1875127,112.4936815,7.32946205,2,2_turbine_256_degrees_465.0_meters,1
278,0,0,7.44512367,2,2_turbine_257_degrees_465.0_meters,0
279,453.0820801,104.6022403,7.23069859,2,2_turbine_257_degrees_465.0_meters,1
280,0,0,7.42237854,2,2_turbine_258_degrees_465.0_meters,0
281,454.8386343,96.67893623,7.13069677,2,2_turbine_258_degrees_465.0_meters,1
282,0,0,7.41932201,2,2_turbine_259_degrees_465.0_meters,0
283,456.4566403,88.72618285,6.99712706,2,2_turbine_259_degrees_465.0_meters,1
284,0,0,7.4141016,2,2_turbine_260_degrees_465.0_meters,0
285,457.9356052,80.74640262,6.84518623,2,2_turbine_260_degrees_465.0_meters,1
286,0,0,7.40241003,2,2_turbine_261_degrees_465.0_meters,0
287,459.2750784,72.74202624,6.65504789,2,2_turbine_261_degrees_465.0_meters,1
288,0,0,7.39769173,2,2_turbine_262_degrees_465.0_meters,0
289,460.474652,64.71549195,6.48653412,2,2_turbine_262_degrees_465.0_meters,1
290,0,0,7.40446377,2,2_turbine_263_degrees_465.0_meters,0
291,461.5339605,56.66924468,6.29007387,2,2_turbine_263_degrees_465.0_meters,1
292,0,0,7.39892721,2,2_turbine_264_degrees_465.0_meters,0
293,462.4526813,48.60573542,6.07887554,2,2_turbine_264_degrees_465.0_meters,1
294,0,0,7.39593506,2,2_turbine_265_degrees_465.0_meters,0
295,463.2305346,40.52742038,5.88262033,2,2_turbine_265_degrees_465.0_meters,1
296,0,0,7.38769865,2,2_turbine_266_degrees_465.0_meters,0
297,463.8672834,32.43676029,5.69514561,2,2_turbine_266_degrees_465.0_meters,1
298,0,0,7.38160372,2,2_turbine_267_degrees_465.0_meters,0
299,464.3627337,24.33621965,5.53682709,2,2_turbine_267_degrees_465.0_meters,1
300,0,0,7.38449478,2,2_turbine_268_degrees_465.0_meters,0
301,464.7167346,16.22826597,5.39785814,2,2_turbine_268_degrees_465.0_meters,1
302,0,0,7.39462757,2,2_turbine_269_degrees_465.0_meters,0
303,464.9291782,8.115368993,5.3146081,2,2_turbine_269_degrees_465.0_meters,1
304,0,0,7.39993382,2,2_turbine_270_degrees_465.0_meters,0
305,465,0,5.29913807,2,2_turbine_270_degrees_465.0_meters,1
306,0,0,7.3936882,2,2_turbine_271_degrees_465.0_meters,0
307,464.9291782,-8.115368993,5.35068798,2,2_turbine_271_degrees_465.0_meters,1
308,0,0,7.38426971,2,2_turbine_272_degrees_465.0_meters,0
309,464.7167346,-16.22826597,5.46127558,2,2_turbine_272_degrees_465.0_meters,1
310,0,0,7.38115644,2,2_turbine_273_degrees_465.0_meters,0
311,464.3627337,-24.33621965,5.62971115,2,2_turbine_273_degrees_465.0_meters,1
312,0,0,7.38746834,2,2_turbine_274_degrees_465.0_meters,0
313,463.8672834,-32.43676029,5.80675602,2,2_turbine_274_degrees_465.0_meters,1
314,0,0,7.39548683,2,2_turbine_275_degrees_465.0_meters,0
315,463.2305346,-40.52742038,6.00011683,2,2_turbine_275_degrees_465.0_meters,1
316,0,0,7.39841413,2,2_turbine_276_degrees_465.0_meters,0
317,462.4526813,-48.60573542,6.1916256,2,2_turbine_276_degrees_465.0_meters,1
318,0,0,7.40378428,2,2_turbine_277_degrees_465.0_meters,0
319,461.5339605,-56.66924468,6.39298868,2,2_turbine_277_degrees_465.0_meters,1
320,0,0,7.39753962,2,2_turbine_278_degrees_465.0_meters,0
321,460.474652,-64.71549195,6.57709789,2,2_turbine_278_degrees_465.0_meters,1
322,0,0,7.40261412,2,2_turbine_279_degrees_465.0_meters,0
